2B,3B,AB,BB,BBA,CG,CS,DP,E,ER,ERA,FP,H,HA,HBP,HR,HRA,IPouts,R,RA,SB,SF,SHO,SO,SOA,SV,score
1.56413028,1.4715414,0.6607850399999999,1.33536522,1.47319373,0.70057122,0.71553132,0.91522289,0.53819045,0.49883754999999996,0.76013577,1.4895361999999999,1.33099954,1.56249642,0.41550294,0.6457233099999999,0.89398439,1.4411837,1.35000144,1.47013788,0.47136372000000004,1.26053444,1.22924381,0.98546937,0.57240939,0.42276402999999996,0.9585942370224618
0.62378696,1.54475655,1.17589589,0.6141852800000001,0.98737035,0.93810535,1.00769727,0.94892357,1.24625224,0.54416672,0.86619321,0.95416341,1.25522377,1.31963326,0.46761763999999995,0.5366014299999999,1.55415668,1.55187124,1.45553682,0.62527648,0.7902439800000001,1.5605793399999999,1.3320460299999999,0.89483866,0.72573082,0.87359604,0.9785670170485944
0.61425755,1.11732281,1.09374904,1.26339518,1.39700752,0.77666117,1.5891303300000001,0.91922223,0.46493698000000006,0.5104682300000001,0.61548576,1.05478889,1.21027507,1.09523392,0.71876213,0.6951993599999999,0.52432996,0.51153446,1.48282356,1.02264447,0.5080879899999999,0.87784982,0.8361242799999999,0.80995167,0.65660131,0.43841881000000005,1.0078139817610368
1.27975671,1.21052722,1.2586925,1.31067536,1.45207168,0.76936931,0.47397864999999995,0.97187541,0.77748507,0.56227021,1.04555551,0.7306427799999999,0.70985771,0.76725435,0.86458063,0.46674653,0.48862669999999997,1.49847735,1.23805128,1.37555725,0.56624949,1.14263376,1.0657625099999999,0.6033430200000001,0.7035456099999999,0.5317976200000001,0.9950397878652391
1.40704613,0.52201749,1.56295038,0.47316704,1.0685301,0.54614584,0.71868548,0.71907185,1.37482933,1.17869818,1.11165347,1.17624603,0.80435881,0.47988032,1.03337693,0.64494927,0.41195515000000005,0.8003798799999999,1.28577984,0.48597439,1.25852999,1.57263531,0.81908855,1.0237509,1.38522233,0.71741636,0.968170249841918
1.1041616,1.5212842800000002,0.68349757,0.95881505,0.69692087,0.6043139200000001,0.52664545,0.86012047,1.07294578,1.07933516,0.54968108,1.00023096,0.47712078999999996,0.59069942,1.30479113,0.77247116,0.57387728,1.00309788,1.35827309,0.7030633399999999,0.40623359000000003,0.60135234,0.5312967399999999,0.71871535,0.5980063,1.0825267,1.0234587060249702
1.38103898,0.88045822,0.96354229,1.57518991,1.54593597,0.5416708299999999,0.95107238,1.4425792,0.67733009,0.6250908,0.99285937,0.41432779,0.5946933999999999,1.15632205,1.36811764,1.5801953499999999,1.5891118899999999,0.76956229,1.39173462,0.76659017,1.47263925,1.51371054,1.25737055,1.35406077,1.58533681,0.89130638,1.0332809575034207
0.92437202,1.2219569,1.2873321500000001,1.43532418,1.32831792,0.60627085,0.8091069399999999,0.7411737199999999,0.5756847,1.02734269,1.3630193400000001,0.8101486099999999,0.57158514,1.41715177,1.21090347,1.08613685,1.06617824,0.52619666,0.77979233,0.93367447,0.72915641,1.07365677,0.7063031900000001,0.99902986,1.56363876,0.84534328,1.00124764040047
0.8893888,1.5919531199999999,1.02558441,1.5392097200000001,1.0852489300000001,0.90051819,0.83250914,0.80820531,0.9738047,1.41379867,1.34063799,1.05071222,0.77672218,0.6992682100000001,0.9931832,0.9657039,1.10874475,1.52006409,0.79733657,0.70751491,0.88480424,0.55999955,0.55920936,0.60902294,1.33117174,1.00992325,1.013809520581916
1.10067633,0.44866057000000004,0.58105911,1.27275594,0.98250511,0.98311351,0.48881924,0.414253,1.20225753,0.84590074,0.75723542,0.81616512,1.0511781,1.22265574,0.7200811899999999,1.16744987,1.36292071,1.25149501,1.41350782,0.7332742,0.94264111,1.21687804,0.9401659,0.74614589,0.46514111999999996,0.84305355,1.020017901949975
2B,3B,AB,BB,BBA,CG,CS,DP,E,ER,ERA,FP,H,HA,HBP,HR,HRA,IPouts,R,RA,SB,SF,SHO,SO,SOA,SV,score
1.16298988,0.5040448900000001,0.8076713,1.36532349,0.45123716999999997,0.5436681400000001,0.5008695400000001,1.22571976,1.09622946,1.33606782,0.6202833999999999,0.69912233,1.3508739699999999,0.58420439,0.80087535,0.7225529900000001,0.8245841700000001,1.5042121800000001,1.2957301,1.41991162,0.903554,1.24773569,0.90801287,0.94881487,1.07031547,1.2498203,0.9678817753961984
1.0,1.59178625,1.47481066,1.00933665,0.81951956,1.45463757,1.0,0.43862607,0.41421953,1.06006003,0.8022577200000001,0.9534788,1.39809985,0.57914533,0.91466504,1.0,0.89501161,0.92684447,1.07707822,0.7983274499999999,1.22051702,1.0,0.72946048,1.35050877,0.41789973,0.6538529399999999,1.001366420143107
1.41255369,1.0,1.0,0.93628805,0.79820295,0.90335842,0.42842623,0.75835155,0.47211362,1.26150626,0.94704677,1.0,1.09276714,1.31945615,0.98762117,1.0,0.79554296,1.1213206,1.22613603,0.90721636,1.3364407200000001,0.90432242,1.19257648,1.0,1.18647312,1.2855941,0.9961659377630231
1.48109705,0.62965111,0.5849612,0.8661954199999999,0.59274514,1.05043202,0.84622029,1.3359660899999999,0.89174686,0.75461467,0.73192289,0.45945040000000004,1.02437275,0.58234135,0.7474183400000001,1.42661236,0.7418784,1.26922119,1.55223332,0.94265462,0.48754514000000004,1.32257765,1.20030588,1.02204222,1.01768447,0.97163555,0.9845364045673357
1.0,1.0,1.0,1.06619299,1.30537299,1.0,0.89041996,1.31568786,1.0,0.99493201,1.0,0.5365482100000001,1.51540967,0.9736452,1.35420022,1.55736171,0.79797443,1.40138388,0.69237744,1.0,0.55046208,1.3803031,1.16345244,1.0,0.66445898,0.44556472999999996,0.9807254244153605
1.0652067,0.6146320000000001,0.41050717999999997,1.32779417,0.75258783,0.85305084,0.5572346,1.35776073,0.82485809,0.40885549,0.99582093,0.47025205999999997,0.7971312,0.93485723,0.91388063,0.45826084,0.57603337,0.99567255,1.22674729,1.03731112,0.91194077,0.4721158,1.00508922,0.65707809,1.42193266,0.99264176,1.0334561353072735
1.0,0.77188626,0.45455471999999997,1.0,0.41638303,0.6849418899999999,0.56403439,0.93104339,1.0,1.34010821,0.83055501,0.95172316,1.33287478,0.73266095,0.79183109,0.83160287,0.69560138,1.2053793800000001,1.58095641,1.29821906,0.5109171299999999,1.0,1.0,1.14279198,1.21496547,0.78042645,0.9988053134356196
1.25819186,1.39856277,1.0347727899999999,0.7749464500000001,0.52274894,0.73591388,0.83059101,0.55636666,1.56761608,1.0,0.5042325999999999,0.47659752,1.19011099,1.0,1.0,0.98235246,0.40753973,0.8845393,0.40132411,0.64718168,1.33897075,0.6816646,0.6101864,0.93215855,1.11727859,1.57011307,0.9885221747147397
0.7338894899999999,1.5007230599999999,0.89272882,0.6573304099999999,0.46896368,0.67676588,0.5035478,1.20370937,1.03429181,0.90236287,1.12330609,1.3615728,1.16991817,0.93576394,1.23731104,1.45720117,1.52911302,0.6488096,1.56244192,0.66391745,0.8566635300000001,0.43993340999999997,0.40286113999999995,0.57518302,0.86489343,1.25714568,0.971221438526012
1.38231222,0.65878907,1.251875,1.0,0.5662655,0.96905131,0.96277268,1.1114527,0.97064442,0.6877929199999999,0.83878537,1.32496393,0.6169872000000001,1.12196995,1.02889165,1.10992786,1.0,1.0,0.97039159,0.44861699,0.45557709999999996,1.0,0.82398172,1.0,1.08724016,1.09671495,1.0119652279928144
0.5676542,0.60868046,1.0,1.0,1.0,0.48033326,1.08130888,1.3959108599999999,0.7391200099999999,0.78784641,0.6389913700000001,1.36611309,0.77703427,1.3148041,0.89388616,1.20283172,0.94381333,0.88290002,1.39286424,1.17880352,1.50998758,0.92947286,0.87248792,1.03682866,1.56941013,1.47635615,0.9899653323698323
1.0,0.85770883,1.4445280999999999,0.5134533,0.86539243,1.01247529,1.21810215,0.97318171,1.29775785,0.88446541,0.57323648,0.47123035999999996,1.46943223,0.40520588999999996,0.9862572000000001,1.0,0.48060463,1.05467463,1.44747341,0.81913473,1.0253081,0.978438,0.8101940400000001,0.43403749999999997,1.0,1.31922613,1.016665548764453
1.4301842,1.20855539,1.4149801,0.7199114099999999,0.5604515,0.95902173,1.0,1.23763119,1.19476736,1.19222886,0.73527354,1.0,0.78455568,1.01978506,1.39415226,0.42545383000000003,0.64874972,1.32156899,1.26334932,0.5087317,1.05313707,1.0,0.57178821,1.42173895,0.9097387100000001,0.82271324,1.03205248982239
1.08137848,0.85115775,1.08333121,1.26999873,1.3220570999999999,1.48215125,0.72943713,1.13493016,0.69172393,0.77997032,0.89968876,0.92477823,1.03183488,0.52264614,0.40286729,1.59175068,0.40267054999999996,0.89810595,1.26697888,1.0049387,0.90689624,0.92013133,0.65543784,0.94930112,0.55157426,0.96851784,1.0027217262322874
1.02267932,1.04743266,1.55600811,1.2514048500000001,0.72874522,1.21536413,1.29284862,1.0,0.68715535,1.2122102,1.23747662,0.49989739,0.47101285000000004,1.09303998,0.48249447,1.58459222,0.72351375,1.0,1.4952664,1.0,0.82118638,0.72504167,1.0,1.0,1.03874368,0.8345104,1.0239486505495536
